FY,Customer,Breakout,Category,Amount
2002,DLA,System Dev. & Demonstration (6.5),R&D,18789665.0
2002,DLA,Ships,Products,53734521.0
2002,MDA,Electronics & Communications,Products,1024386.0
2002,MDA,ERS,Services,194525.0
2002,MDA,FRS&C,Services,3203704.0
2002,MDA,ICT,Services,26767483.0
2002,MDA,Missiles & Space,Products,2803056610.0
2002,MDA,Other,Products,86143.0
2002,MDA,PAMS,Services,27160658.0
2002,MDA,Adv. Technology Dev. (6.3),R&D,363101948.0
2002,MDA,Operation of Government R&D Facilities,R&D,142618412.0
2002,Navy,Aircraft,Products,6818166309.0
2002,Navy,Clothing & Subsistence,Products,158360461.0
2002,Navy,Electronics & Communications,Products,4165035730.0
2002,Navy,Engines & Power Plants,Products,1452394079.0
2002,Navy,ERS,Services,8126968897.0
2002,Navy,FRS&C,Services,6914397457.0
2002,Navy,Fuels,Products,5622214.0
2002,Navy,Ground Vehicles,Products,670218490.0
2002,Navy,ICT,Services,2376259530.0
2002,Navy,Launchers & Munitions,Products,1953749693.0
2002,Navy,MED,Services,273180725.0
2002,Navy,Missiles & Space,Products,2238772367.0
2002,Navy,Other,Products,2037322497.0
2002,Navy,PAMS,Services,9409262608.0
2002,Navy,Adv. Component Dev. & Prototypes (6.4),R&D,718035996.0
2002,Navy,Adv. Technology Dev. (6.3),R&D,3258636497.0
2002,Navy,Applied Research (6.2),R&D,912410043.0
2002,Navy,Basic Research (6.1),R&D,1087439977.0
2002,Navy,Operation of Government R&D Facilities,R&D,400155532.0
2002,Navy,Operational Systems Dev. (6.7),R&D,849357484.0
2002,Navy,System Dev. & Demonstration (6.5),R&D,4036016345.0
2002,Navy,Ships,Products,6819521876.0
2002,Other DoD,Aircraft,Products,107992125.0
2002,Other DoD,Clothing & Subsistence,Products,26457083.0
2002,Other DoD,Electronics & Communications,Products,1014472046.0
2002,Other DoD,Engines & Power Plants,Products,6884805.0
2002,Other DoD,ERS,Services,418506141.0
2002,Other DoD,FRS&C,Services,1047096976.0
2002,Other DoD,Ground Vehicles,Products,13391444.0
2002,Other DoD,ICT,Services,3564845106.0
2002,Other DoD,Launchers & Munitions,Products,13203984.0
2002,Other DoD,MED,Services,5663190609.0
2002,Other DoD,Missiles & Space,Products,57017620.0
2002,Other DoD,Other,Products,639486556.0
2002,Other DoD,PAMS,Services,1690727815.0
2002,Other DoD,Adv. Component Dev. & Prototypes (6.4),R&D,75279135.0
2002,Other DoD,Adv. Technology Dev. (6.3),R&D,80972914.0
2002,Other DoD,Applied Research (6.2),R&D,592515528.0
2002,Other DoD,Basic Research (6.1),R&D,202839088.0
2002,Other DoD,Operation of Government R&D Facilities,R&D,582803.0
2002,Other DoD,Operational Systems Dev. (6.7),R&D,8262620.0
2002,Other DoD,System Dev. & Demonstration (6.5),R&D,92316347.0
2002,Other DoD,Ships,Products,47601883.0
2003,Air Force,Aircraft,Products,18619706565.0
2003,Air Force,Clothing & Subsistence,Products,191512500.0
2003,Air Force,Electronics & Communications,Products,4788790749.0
2003,Air Force,Engines & Power Plants,Products,3952532776.0
2003,Air Force,ERS,Services,5206655749.0
2003,Air Force,FRS&C,Services,6465253231.0
2003,Air Force,Fuels,Products,9360943.0
2003,Air Force,Ground Vehicles,Products,133353796.0
2003,Air Force,ICT,Services,2755189178.0
2003,Air Force,Launchers & Munitions,Products,2065131770.0
2003,Air Force,MED,Services,67364080.0
2003,Air Force,Missiles & Space,Products,1469441254.0
2003,Air Force,Other,Products,2013706206.0
2003,Air Force,PAMS,Services,13563770958.0
2003,Air Force,Adv. Component Dev. & Prototypes (6.4),R&D,1389619819.0
2003,Air Force,Adv. Technology Dev. (6.3),R&D,3301623038.0
2003,Air Force,Applied Research (6.2),R&D,2343056185.0
2003,Air Force,Basic Research (6.1),R&D,480298067.0
2003,Air Force,Operation of Government R&D Facilities,R&D,44106131.0
2003,Air Force,Operational Systems Dev. (6.7),R&D,402237369.0
2003,Air Force,System Dev. & Demonstration (6.5),R&D,3930177196.0
2003,Air Force,Ships,Products,6112696.0
2003,Army,Aircraft,Products,4819520465.0
2003,Army,Clothing & Subsistence,Products,1121092513.0
2003,Army,Electronics & Communications,Products,5422276184.0
2003,Army,Engines & Power Plants,Products,2665536775.0
2003,Army,ERS,Services,2575323980.0
2003,Army,FRS&C,Services,20410556093.0
2003,Army,Fuels,Products,34843736.0
2003,Army,Ground Vehicles,Products,9443808109.0
