"","FY","Customer","Breakout","Amount","Category"
"347",2000,"Air Force","Adv. Technology Dev. (6.3)",546269732,"R&D"
"348",2000,"Air Force","MED",21511143,"Services"
"349",2000,"Air Force","Aircraft",6543917,"Products"
"350",2000,"Air Force","Launchers & Munitions",498007614,"Products"
"351",2000,"Air Force","Missiles & Space",6086665,"Products"
"352",2000,"Air Force","System Dev. & Demonstration (6.5)",436965886,"R&D"
"353",2000,"Army","FRS&C",128474875,"Services"
"354",2000,"Army","PAMS",1053561528,"Services"
"355",2000,"Army","FRS&C",16647995,"Services"
"356",2000,"Army","Clothing & Subsistence",304588,"Products"
"357",2000,"Army","Adv. Component Dev. & Prototypes (6.4)",22885230,"R&D"
"358",2000,"Army","Applied Research (6.2)",252100193,"R&D"
"359",2000,"Army","Operational Systems Dev. (6.7)",5927044,"R&D"
"360",2000,"Army","Electronics & Communications",143643,"Products"
"361",2000,"Army","Clothing & Subsistence",58722,"Products"
"362",2000,"Army","ICT",18492298,"Services"
"363",2000,"Army","Operation of Government R&D Facilities",1242569,"R&D"
"364",2000,"DLA","Operational Systems Dev. (6.7)",310446,"R&D"
"365",2000,"DLA","Ground Vehicles",3231126,"Products"
"366",2000,"MDA","Electronics & Communications",565971,"Products"
"367",2000,"MilitaryHealth","ICT",1302879,"Services"
"368",2000,"MilitaryHealth","PAMS",2812123,"Services"
"369",2000,"Navy","Electronics & Communications",286135406,"Products"
"370",2000,"Navy","Ground Vehicles",40455782,"Products"
"371",2000,"Navy","Aircraft",970399994,"Products"
"372",2000,"Navy","Ground Vehicles",1125016,"Products"
"373",2000,"Navy","MED",157705,"Services"
"374",2000,"Navy","Missiles & Space",33337550,"Products"
"375",2000,"Navy","Basic Research (6.1)",7232276,"R&D"
"376",2000,"Navy","PAMS",4837049672,"Services"
"377",2000,"Navy","Aircraft",16973869,"Products"
"378",2000,"Navy","Engines & Power Plants",1117822753,"Products"
"379",2000,"Navy","Fuels",3822723,"Products"
"380",2000,"Navy","Missiles & Space",48579105,"Products"
"381",2000,"Navy","System Dev. & Demonstration (6.5)",72677666,"R&D"
"382",2000,"Navy","Ships",547832,"Products"
"383",2000,"Other DoD","Launchers & Munitions",1880694,"Products"
"384",2000,"Other DoD","PAMS",47652926,"Services"
"385",2000,"Other DoD","System Dev. & Demonstration (6.5)",205698,"R&D"
"386",2000,"Other DoD","PAMS",138701473,"Services"
"387",2000,"Other DoD","ERS",616598,"Services"
"388",2000,"Other DoD","Clothing & Subsistence",14253644,"Products"
"389",2000,"Navy","Adv. Technology Dev. (6.3)",21258744,"R&D"
"390",2000,"Navy","Basic Research (6.1)",38702136,"R&D"
"391",2000,"Navy","FRS&C",14704996,"Services"
"392",2000,"Navy","FRS&C",5822007678,"Services"
"393",2000,"Navy","Adv. Technology Dev. (6.3)",119241996,"R&D"
"394",2000,"Navy","Applied Research (6.2)",4854957,"R&D"
"395",2000,"Navy","Basic Research (6.1)",3912888,"R&D"
"396",2000,"Navy","Ships",613408,"Products"
"397",2000,"Navy","Adv. Technology Dev. (6.3)",27027963,"R&D"
"398",2000,"Navy","Ships",50763,"Products"
"399",2000,"Navy","System Dev. & Demonstration (6.5)",335731725,"R&D"
"400",2000,"Navy","MED",194650077,"Services"
"401",2000,"Navy","ERS",2490917604,"Services"
"402",2000,"Navy","Ground Vehicles",4725947,"Products"
"403",2000,"Navy","Launchers & Munitions",414531182,"Products"
"404",2000,"Navy","Operational Systems Dev. (6.7)",1420323,"R&D"
"405",2000,"Navy","System Dev. & Demonstration (6.5)",40935258,"R&D"
"406",2000,"Other DoD","Aircraft",86006686,"Products"
"407",2000,"Other DoD","ICT",2562694875,"Services"
"408",2000,"Other DoD","Adv. Component Dev. & Prototypes (6.4)",12398843,"R&D"
"409",2000,"Other DoD","Applied Research (6.2)",161479,"R&D"
"410",2000,"Other DoD","Operation of Government R&D Facilities",263568,"R&D"
"411",2000,"Other DoD","FRS&C",13872011,"Services"
"412",2000,"Other DoD","Other",247024136,"Products"
"413",2000,"Other DoD","ERS",245729938,"Services"
"414",2001,"Air Force","Electronics & Communications",377233312,"Products"
"415",2001,"Air Force","PAMS",2069606955,"Services"
"416",2001,"Air Force","ERS",201891369,"Services"
"417",2001,"Air Force","Other",110746298,"Products"
"418",2001,"Air Force","System Dev. & Demonstration (6.5)",522526506,"R&D"
"419",2001,"Air Force","ERS",124840833,"Services"
"420",2001,"Air Force","PAMS",465306,"Services"
"421",2001,"Air Force","PAMS",1115265072,"Services"
"422",2001,"Air Force","Adv. Component Dev. & Prototypes (6.4)",41525188,"R&D"
"423",2001,"Air Force","Operational Systems Dev. (6.7)",2471928,"R&D"
"424",2001,"Air Force","Ships",5755148,"Products"
"425",2001,"Air Force","Electronics & Communications",641533,"Products"
"426",2001,"Air Force","ERS",7309664,"Services"
"427",2001,"Air Force","Other",9979971,"Products"
"428",2001,"Army","Missiles & Space",333951053,"Products"
"429",2001,"Army","Applied Research (6.2)",85371802,"R&D"
"430",2001,"Army","Basic Research (6.1)",190933749,"R&D"
"431",2001,"Army","FRS&C",13422623083,"Services"
"432",2001,"Army","Missiles & Space",27118241,"Products"
"433",2001,"Army","Adv. Component Dev. & Prototypes (6.4)",7476594,"R&D"
"434",2001,"Army","Adv. Technology Dev. (6.3)",27981775,"R&D"
"435",2001,"Army","Applied Research (6.2)",10094898,"R&D"
"436",2001,"Army","Ships",6112368,"Products"
"437",2000,"Navy","PAMS",623724120,"Services"
"438",2000,"Navy","Operation of Government R&D Facilities",49861550,"R&D"
"439",2000,"Navy","ERS",78367635,"Services"
"440",2000,"Navy","Other",982756,"Products"
"441",2000,"Navy","Adv. Component Dev. & Prototypes (6.4)",607733,"R&D"
"442",2000,"Navy","System Dev. & Demonstration (6.5)",5285236,"R&D"
"443",2000,"Navy","ERS",358456465,"Services"
"444",2000,"Navy","FRS&C",4329463,"Services"
"445",2000,"Navy","Other",2996587,"Products"
"446",2000,"Navy","Adv. Component Dev. & Prototypes (6.4)",185196206,"R&D"
"447",2000,"Navy","Operational Systems Dev. (6.7)",132616492,"R&D"
"448",2000,"Navy","Clothing & Subsistence",92054996,"Products"
